fold_id,test_year,endpoint_id,endpoint_label,variant_id,n_predictors_raw,n_encoded_features_train,n_encoded_features_final,selected_rounds,tune_score
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_MECHANISM_HELMET,46,61,61,558,0.10569844349235
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,543,0.105337723004012
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,NO_PMHX,36,61,61,490,0.105300762389976
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,CORE_NEURO,24,32,32,417,0.107103222123193
TEST_2024,2024,icp_pressure_monitor_final,Invasive ICP monitoring,CORE_NEURO_PLUS_RESP,26,41,41,536,0.106845495876515
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,FULL_REFERENCE,48,73,73,645,0.133738389797887
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_RESP_ASSISTANCE,47,69,69,646,0.133716040982774
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_RESP_SUPPORT,46,64,64,783,0.133898350310601
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,712,0.133868062078297
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_AIRWAY_PROXY_SET,44,62,62,769,0.133835459948975
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_HELMET,47,68,68,724,0.133794939945393
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_MECHANISM_HELMET,46,61,61,464,0.135299505416255
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,751,0.134213007219922
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_PMHX,36,61,61,628,0.134226950942388
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,CORE_NEURO,24,32,32,469,0.136910351576671
TEST_2024,2024,craniotomy_craniectomy_final,Craniotomy/craniectomy,CORE_NEURO_PLUS_RESP,26,41,41,533,0.136751200597783
